place_id,place_name,stop_id,stop_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
45,Latour-de-Carol - Enveitg,StopPoint:OCEINTERCITES de nuit-87611483,Latour-de-Carol - Enveitg,42.4589540,1.90450900,Latour-de-Carol - Enveitg,Gateway to Spain - Puigcerda in Spain is just a walk away.,https://lh5.googleusercontent.com/6VCzzTAXO2NKQhPG-Ycu6vtQU3IcZXUBepu3TafjcEu2ENvzxACagf2ldbqGRa2zDlzlsOlpC0BMnYltrFj8B9A=w16383,walking,https://www.low-carb-travel.info/scribblings/station-strolls/spain/puigcerd%C3%A0-to-latour-carol-enveitg
72,Carcassonne,StopPoint:OCEINTERCITES de nuit-87615286,Carcassonne,43.2181650,2.35243000,Carcassonne,"Carcassonne, one of the best preserved medieval cities in the world, has something of a fairytale feel thanks to the restoration work of Eugène Viollet-le-Duc.",https://lh5.googleusercontent.com/5AOhP9NiDLmv6cwkFFj5x4bgLiUTYB0BUqLIhBCJibqvhNcPM4DJHOl3ciVYQdM98UpxD1IF7c7VwYws2Xz6gew=w16383,history|kids,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/carcassonne
80,Lourdes,StopPoint:OCEINTERCITES de nuit-87671339,Lourdes,43.1006000,-0.0418120,Lourdes,"As a small town in the foothills of the Pyrenees, Lourdes used to be a bit of a backwater. But all of that changed in 1858 when 14-year-old Bernadette Soubirous visited a cave and met the Lady of the Immaculate Conception who told her about the healing properties of the water.",https://lh3.googleusercontent.com/SwPPkE3oYc2JXdMGKsZutdudwiJaPfuDX_fYad7uPr6iAp0poSOzkoK47TcuMo72NnTFkeAwjl9twKiHvq8xzMQ=w16383,history|walking,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/lourdes
83,Bayonne,StopPoint:OCEINTERCITES-87673004,Bayonne,43.4970180,-1.4701940,Bayonne,"If you've spent a few days getting body-beautiful down in San Sebastian or nearby Biarritz, why not go and undo all that good work with a trip to Bayonne!",https://lh4.googleusercontent.com/E5EErJJwTYFUZ4XMDiVQh0hcTdF-IzexLTUsCM1nxHfHrFaVmDcKwhl5-o6gCMOz3kzWsXpDu-KgEnBLddw1Z3Q=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/bayonne
93,Lyon,StopPoint:OCEOUIGO-87723197,Lyon Part Dieu,45.7605960,4.85940900,Lyon,"Lyon, France’s third largest city and reputed gastronomic capital of the world, sits at the junction of the Rhône and Saône rivers. Founded by the Romans, Lyon flourished in the late Middle Ages and has been a major centre for industry, commerce and banking for the last 500 years. The legacy of this wealth is on show through the fine set of buildings.",https://lh4.googleusercontent.com/YMqeimDKPaxCNsNJj8xKHdjSKg8veb4QP9a7jomleb61q25O_stRgNk1jrqbx03OTQbQKfdwYtI_qvAluYuCPrk=w16383,history|food|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/lyon
97,Vichy,StopPoint:OCEINTERCITES-87732008,Vichy,46.1268820,3.43070700,Vichy,"Vichy is a town in Auvergne. It's known for two things: its spas (Vichy is one of eleven world heritage-listed European spa towns), and as the headquarters of the pro-Nazi Vichy regime during the Second World War.",https://upload.wikimedia.org/wikipedia/commons/5/5d/Vichy_banner.jpg,history|spa,https://en.wikivoyage.org/wiki/Vichy
105,Marseille,StopPoint:OCEINTERCITES-87751008,Marseille Saint-Charles,43.3030300,5.38055500,Marseille,"Marseille (Provençal: Marselha) is the second most populated city of France (and third urban area) the biggest Mediterranean port and the economic center of the Provence-Alpes-Côte d'Azur region. In 2013 the city (with its region) was the European Capital of Culture, a large series of cultural events took place, and several new infrastructures were inaugurated.",https://upload.wikimedia.org/wikipedia/commons/5/58/Marseille_banner.jpg,history|sea|city break,https://en.wikivoyage.org/wiki/Marseille
106,Arles,StopPoint:OCEINTERCITES-87753657,Arles,43.6853590,4.63210900,Arles,"Arles, spiritual capital of Provence, is located where the mighty Rhône meets the Camargue and was founded by the veterans of Julius Caesar's crack Sixth legion. And while it has world class Roman buildings (that are still in active use today), it's probably more famous for being the place where Vincent Van Gogh came in search of light - the art world hasn't been the same since.",https://lh6.googleusercontent.com/jbU3Kd8kDZZIz5VdCbCfDU9zd3wQPwM_781VUwMuHB3LqmLFWtbSx3umcnksHmd7E1IHfI2TAlxCb3WFrgl7xc8_aF5WpVEyS0apmJLEiQ23ItAo39tIiBn9xzI1w-kzSg=w1280,history|art,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/arles
123,Montpellier,StopPoint:OCEINTERCITES de nuit-87773002,Montpellier Saint-Roch,43.6047800,3.88116800,Montpellier,"Montpellier is the principal city in the Languedoc-Roussillon region in southwest France. It's been the one of the fastest growing cities in France since the 1990s. As a result, it has very modern districts on the outskirts that are in stark contrast to the old winding roads of the city centre. The town is home to a lot of students due to the presence of the University of Montpellier which has the oldest medical school in Europe, and, as such, Montpellier has a very young feel to it.",https://upload.wikimedia.org/wikipedia/commons/c/c8/Montpellier_banner.jpg,history,https://en.wikivoyage.org/wiki/Montpellier
124,Sète,StopPoint:OCEINTERCITES de nuit-87773200,Sète,43.4128080,3.69641000,Sète,"Located between a lagoon and the Med and connecting the Canal du Midi to the sea, this southern French working port is a great place to get seafood and sea views. Throughout the summer you can also catch some water-jousting where old-style lifeboats (barque de sauvetage) with multiple oarsmen and one jouster charge at each other and try to unseat their opponent.",https://lh4.googleusercontent.com/AMYnxeEqeX3CUTjYFCeD4AOL14wj9Mgb0Y3oCkLjtHwihrtA0rVhw-sPYCOOrF0tr-aU20of4eUIh0qvXTsxNIE=w16383,history|art|sea,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/s%C3%A8te
125,Nîmes,StopPoint:OCEINTERCITES de nuit-87775007,Nîmes Centre,43.8323870,4.36608100,Nîmes,"Known as the most Roman city outside of Italy, Nîmes has one of the best preserved arenas and Roman temples in the world. It's also the birthplace of denim ('de Nîmes'), so you could think of coming to Nîmes as a pilgrimage for your jeans! The city is full of activity and has events and festivals throughout the year, including an annual international music festival held in the Roman arena and local craft and produce markets.",https://lh3.googleusercontent.com/TyPwFxxNRBndzLZmKBMoP6nyMmqlFuUfUHPOFwjWB20imaw5Y2jqEm2gY6gEgY_PePiljJhDIO4Q01L_z0FDD0o=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/n%C3%AEmes
127,Narbonne,StopPoint:OCEINTERCITES de nuit-87781104,Narbonne,43.1906640,3.00556200,Narbonne,Narbonne has been an ideal place to stop off when going places since Roman times as it was where the via Aquitania from the Atlantic via Bordeaux and Toulouse met the via Domitia reaching into Spain. It’s still a great place to change trains when doing the same thing.,https://lh5.googleusercontent.com/kPBjmv2-geIgP413qK2L3JGokOpL9KHgrfocq-eQrH1plkChP2t9T2-J3T27UQLEw2K-PHG-IaOYJTSxCYhxXac=w16383,history,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/narbonne
145,Perpignan,StopPoint:OCEINTERCITES de nuit-87784009,Perpignan,42.6960790,2.87962200,Perpignan,"Perpignan is home to about 120,000 people, and has two rivers flowing through it; with the Têt to the north, and the Basse through the centre. Once the continental capital of the Kingdom of Majorca, Perpignan has been an economical and educational centre for centuries, and this is evident in its architecture.","https://en.wikivoyage.org/wiki/Perpignan#/media/File:23_La_Bassa_(Perpiny%C3%A0),_des_de_la_pl._Gabriel_P%C3%A9ri.jpg",history|skiing,https://en.wikivoyage.org/wiki/Perpignan
148,Collioure,StopPoint:OCEINTERCITES de nuit-87784256,Collioure,42.5269200,3.07824800,Collioure,Collioure is an ancient fishing village 27 km from Spain. The Mediterranean laps on its beaches and you can spy the last summits of the Pyrenees.,https://upload.wikimedia.org/wikipedia/commons/6/6b/CollioureView.jpg,history|sea,https://en.wikivoyage.org/wiki/Collioure
151,Cerbère,StopPoint:OCEINTERCITES de nuit-87785006,Cerbère,42.4427710,3.16552800,Cerbère,"Gateway to Spain  - just wander over the hill! It's a journey made by made during times of strife, but these days it's all for pleasure",https://upload.wikimedia.org/wikipedia/commons/b/bb/Cerb%C3%A8re_Wikivoyage_Banner.jpg,history|sea,https://en.wikivoyage.org/wiki/Cerb%C3%A8re
