france_45,Latour-de-Carol - Enveitg,StopPoint:OCEINTERCITES de nuit-87611483,Latour-de-Carol - Enveitg,42.4589540,1.90450900,Latour-de-Carol - Enveitg,Gateway to Spain - Puigcerda in Spain is just a walk away.,../static/images/latour-de-carol.png,walking,../static/places/latour-de-carol.html
france_72,Carcassonne,StopPoint:OCEINTERCITES de nuit-87615286,Carcassonne,43.2181650,2.35243000,Carcassonne,"Carcassonne, one of the best preserved medieval cities in the world, has something of a fairytale feel thanks to the restoration work of Eugène Viollet-le-Duc.",../static/images/carcassonne.png,history|kids,../static/places/carcassonne.html
france_80,Lourdes,StopPoint:OCEINTERCITES de nuit-87671339,Lourdes,43.1006000,-0.0418120,Lourdes,"As a small town in the foothills of the Pyrenees, Lourdes used to be a bit of a backwater. But all of that changed in 1858 when 14-year-old Bernadette Soubirous visited a cave and met the Lady of the Immaculate Conception who told her about the healing properties of the water.",../static/images/lourdes.png,history|walking,../static/places/lourdes.html
france_83,Bayonne,StopPoint:OCEINTERCITES-87673004,Bayonne,43.4970180,-1.4701940,Bayonne,"If you've spent a few days getting body-beautiful down in San Sebastian or nearby Biarritz, why not go and undo all that good work with a trip to Bayonne!",../static/images/bayonne.png,history|food,../static/places/bayonne.html
france_85,Hendaye,StopPoint:OCEINTERCITES-87677005,Hendaye,43.3531650,-1.7820950,Hendaye,"Hendaye is a popular surfing destination renowned for its soft beach break waves suitable for beginners. Trains leave from here to Spain - or just walk across the border...",../static/images/hendaye.png,,../static/places/hendaye.html
france_93,Lyon,StopPoint:OCEOUIGO-87723197,Lyon Part Dieu,45.7605960,4.85940900,Lyon,"Lyon, France’s third largest city and reputed gastronomic capital of the world, sits at the junction of the Rhône and Saône rivers. Founded by the Romans, Lyon flourished in the late Middle Ages and has been a major centre for industry, commerce and banking for the last 500 years. The legacy of this wealth is on show through the fine set of buildings.",../static/images/lyon.png,history|food|city break,../static/places/lyon.html
france_97,Vichy,StopPoint:OCEINTERCITES-87732008,Vichy,46.1268820,3.43070700,Vichy,"Vichy is a town in Auvergne. It's known for two things: its spas (Vichy is one of eleven world heritage-listed European spa towns), and as the headquarters of the pro-Nazi Vichy regime during the Second World War.",../static/images/vichy.png,history|spa,../static/places/vichy.html
france_105,Marseille,StopPoint:OCEINTERCITES-87751008,Marseille Saint-Charles,43.3030300,5.38055500,Marseille,"Marseille (Provençal: Marselha) is the second most populated city of France (and third urban area) the biggest Mediterranean port and the economic center of the Provence-Alpes-Côte d'Azur region. In 2013 the city (with its region) was the European Capital of Culture, a large series of cultural events took place, and several new infrastructures were inaugurated.",../static/images/marseille.png,history|sea|city break,../static/places/marseille.html
france_106,Arles,StopPoint:OCEINTERCITES-87753657,Arles,43.6853590,4.63210900,Arles,"Arles, spiritual capital of Provence, is located where the mighty Rhône meets the Camargue and was founded by the veterans of Julius Caesar's crack Sixth legion. And while it has world class Roman buildings (that are still in active use today), it's probably more famous for being the place where Vincent Van Gogh came in search of light - the art world hasn't been the same since.",../static/images/arles.png,history|art,../static/places/arles.html
france_123,Montpellier,StopPoint:OCEINTERCITES de nuit-87773002,Montpellier Saint-Roch,43.6047800,3.88116800,Montpellier,"Montpellier is the principal city in the Languedoc-Roussillon region in southwest France. It's been the one of the fastest growing cities in France since the 1990s. As a result, it has very modern districts on the outskirts that are in stark contrast to the old winding roads of the city centre. The town is home to a lot of students due to the presence of the University of Montpellier which has the oldest medical school in Europe, and, as such, Montpellier has a very young feel to it.",../static/images/montpellier.png,history,../static/places/montpellier.html
france_124,Sète,StopPoint:OCEINTERCITES de nuit-87773200,Sète,43.4128080,3.69641000,Sète,"Located between a lagoon and the Med and connecting the Canal du Midi to the sea, this southern French working port is a great place to get seafood and sea views. Throughout the summer you can also catch some water-jousting where old-style lifeboats (barque de sauvetage) with multiple oarsmen and one jouster charge at each other and try to unseat their opponent.",../static/images/sete.png,history|art|sea,../static/places/sete.html
france_125,Nîmes,StopPoint:OCEINTERCITES de nuit-87775007,Nîmes Centre,43.8323870,4.36608100,Nîmes,"Known as the most Roman city outside of Italy, Nîmes has one of the best preserved arenas and Roman temples in the world. It's also the birthplace of denim ('de Nîmes'), so you could think of coming to Nîmes as a pilgrimage for your jeans! The city is full of activity and has events and festivals throughout the year, including an annual international music festival held in the Roman arena and local craft and produce markets.",../static/images/nimes.png,history|food,../static/places/nimes.html
france_127,Narbonne,StopPoint:OCEINTERCITES de nuit-87781104,Narbonne,43.1906640,3.00556200,Narbonne,Narbonne has been an ideal place to stop off when going places since Roman times as it was where the via Aquitania from the Atlantic via Bordeaux and Toulouse met the via Domitia reaching into Spain. It’s still a great place to change trains when doing the same thing.,../static/images/narbonne.png,history,../static/places/narbonne.html
france_145,Perpignan,StopPoint:OCEINTERCITES de nuit-87784009,Perpignan,42.6960790,2.87962200,Perpignan,"Perpignan is home to about 120,000 people, and has two rivers flowing through it; with the Têt to the north, and the Basse through the centre. Once the continental capital of the Kingdom of Majorca, Perpignan has been an economical and educational centre for centuries, and this is evident in its architecture.",../static/images/perpignan.png,history|skiing,../static/places/perpignan.html
france_148,Collioure,StopPoint:OCEINTERCITES de nuit-87784256,Collioure,42.5269200,3.07824800,Collioure,Collioure is an ancient fishing village 27 km from Spain. The Mediterranean laps on its beaches and you can spy the last summits of the Pyrenees.,../static/images/collioure.png,history|sea,../static/places/collioure.html
france_151,Cerbère,StopPoint:OCEINTERCITES de nuit-87785006,Cerbère,42.4427710,3.16552800,Cerbère,"Gateway to Spain  - just wander over the hill! It's a journey made by made during times of strife, but these days it's all for pleasure",../static/images/cerbere.png,history|sea,../static/places/cerbere.html
