place_id,place_name,stop_id,stop_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links
14,Saumur,StopPoint:OCEOUIGO-87487603,Saumur,47.2689500,-0.0715190,Saumur,,,,
15,Saintes,StopPoint:OCEINTERCITES-87491001,Saintes,45.7488860,-0.6173560,Saintes,"Saintes is a city on the Charente river in Charente-Maritime, in southwestern France. It was the capital of the historical Saintogne County, many landmarks from its glorious past have been preserved, and as such it has been classified as a Ville d'art et d'histoire (""City of art and history"").",https://upload.wikimedia.org/wikipedia/commons/0/07/Saintes_Banner.png,history|city break,https://en.wikivoyage.org/wiki/Saintes
16,Jonzac,StopPoint:OCEINTERCITES-87491142,Jonzac,45.4386280,-0.4416940,Jonzac,,,,
17,Les Aubrais,StopPoint:OCEOUIGO-87543017,Les Aubrais,47.9268010,1.90662900,Les Aubrais,,,,
18,Juvisy,StopPoint:OCEOUIGO-87545244,Juvisy,48.6899690,2.38350200,Juvisy,,,,
19,Paris,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,48.8404960,2.36707900,Paris,"We’ll always have Paris' - Casablanca \nAh Paris, where do you start...",https://lh6.googleusercontent.com/cjoB14f8hoFIScIN-lS0AFZ7VN05Hqg-2nGynptvQP4ZXIM4aVxLcexxtnoICM9X0xUo7zvcrJz3AoJNajeGhbQ=w16383,history|kids|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/paris
20,Blois - Chambord,StopPoint:OCEOUIGO-87574004,Blois - Chambord,47.5854490,1.32375900,Blois - Chambord,,,,
21,Poitiers,StopPoint:OCEOUIGO-87575001,Poitiers,46.5823110,0.33275800,Poitiers,,,,
22,Vierzon,StopPoint:OCEINTERCITES-87576009,Vierzon,47.2267390,2.05998200,Vierzon,,,,
23,Bourges,StopPoint:OCEINTERCITES-87576207,Bourges,47.0941290,2.39423600,Bourges,,,,
24,Bordeaux,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,44.8258230,-0.5560120,Bordeaux,"Bordeaux, resting on the banks of the Garonne is the global capital of wine and it would be rude not to get straight to the point and pay a visit to La Cité du Vin where you can learn about how the giggle-juice is made and maybe do some tasting?",https://lh4.googleusercontent.com/OvutzVxc8rop6CbW76s32yeurjE6vOno61BBSNB0OOlYJfgYOYESE83amOp7Nxbqwycv3BI73dJs3tGw3QLCOx0=w16383,history|kids|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/bordeaux
25,Angoulême,StopPoint:OCEOUIGO-87583005,Angoulême,45.6539410,0.16453100,Angoulême,,,,
26,Agen,StopPoint:OCEINTERCITES-87586008,Agen,44.2084380,0.62070100,Agen,,,,
27,Marmande,StopPoint:OCEINTERCITES-87586545,Marmande,44.5032040,0.16798500,Marmande,,,,
28,Limoges,StopPoint:OCEINTERCITES-87592006,Limoges Bénédictins,45.8372180,1.26900800,Limoges,"Limoges is a city in southwest-central France. It’s known for its decorated porcelain, much of which is on display at the Musée National Adrien Dubouché. In the historic center, medieval timber-frame houses line Rue de la Boucherie. Set in the former Episcopal Palace, the Musée des Beaux-Arts showcases the history of the city's medieval enamel. The Gothic Cathédrale St-Étienne de Limoges took 6 centuries to complete",https://upload.wikimedia.org/wikipedia/commons/f/f0/Limoges_banner.jpg,history|art,https://en.wikivoyage.org/wiki/Limoges
29,La Souterraine,StopPoint:OCEINTERCITES-87592378,La Souterraine,46.2406280,1.49170900,La Souterraine,,,,
30,Brive-la-Gaillarde,StopPoint:OCEINTERCITES-87594002,Brive-la-Gaillarde,45.1526230,1.52814100,Brive-la-Gaillarde,,,,
31,Uzerche,StopPoint:OCEINTERCITES-87594200,Uzerche,45.4406820,1.57043400,Uzerche,,,,
32,Souillac,StopPoint:OCEINTERCITES de nuit-87594333,Souillac,44.9023370,1.46524000,Souillac,,,,
33,Saint-Denis-Près-Martel,StopPoint:OCEINTERCITES de nuit-87594572,Saint-Denis-Près-Martel,44.9457900,1.66628400,Saint-Denis-Près-Martel,,,,
34,Bretenoux - Biars,StopPoint:OCEINTERCITES de nuit-87594762,Bretenoux - Biars,44.9275600,1.84420300,Bretenoux - Biars,,,,
35,Châteauroux,StopPoint:OCEINTERCITES-87597005,Châteauroux,46.8094610,1.69951500,Châteauroux,,,,
36,Issoudun,StopPoint:OCEINTERCITES-87597062,Issoudun,46.9486340,1.98556100,Issoudun,,,,
37,Argenton-sur-Creuse,StopPoint:OCEINTERCITES-87597120,Argenton-sur-Creuse,46.5923110,1.51852800,Argenton-sur-Creuse,,,,
38,Toulouse,StopPoint:OCEINTERCITES de nuit-87611004,Toulouse Matabiau,43.6114370,1.45423700,Toulouse,"Toulouse, known as 'La Ville Rose', is the proud capital of the Occitan region of France which has had a distinctly independent culture and language - hence its bilingual street signs. Wandering around the city with its rose-coloured bricks, it does feel markedly different from the yellow limestone which dominates so many parts of France.",https://lh3.googleusercontent.com/otTmj5ar3j_EmP1swxMdojMoiuoNQC1Cq-uWYa5QcA-IcFXh_d4fGO-MHSSdPX8o4TgjmXnz5oWjT389zJ2-XGM=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/toulouse
39,Saint-Gaudens,StopPoint:OCEINTERCITES de nuit-87611137,Saint-Gaudens,43.1049640,0.72926700,Saint-Gaudens,,,,
40,Montréjeau - Gourdan-Polignan,StopPoint:OCEINTERCITES-87611152,Montréjeau - Gourdan-Polignan,43.0780570,0.57354600,Montréjeau - Gourdan-Polignan,,,,
41,Montauban Ville Bourbon,StopPoint:OCEINTERCITES de nuit-87611244,Montauban Ville Bourbon,44.0141780,1.34113500,Montauban Ville Bourbon,,,,
42,Pamiers,StopPoint:OCEINTERCITES de nuit-87611343,Pamiers,43.1162130,1.61971500,Pamiers,,,,
43,Saverdun,StopPoint:OCEINTERCITES de nuit-87611368,Saverdun,43.2394290,1.57041900,Saverdun,,,,
44,Auterive,StopPoint:OCEINTERCITES de nuit-87611384,Auterive,43.3488420,1.46863500,Auterive,,,,
45,Latour-de-Carol - Enveitg,StopPoint:OCEINTERCITES de nuit-87611483,Latour-de-Carol - Enveitg,42.4589540,1.90450900,Latour-de-Carol - Enveitg,Gateway to Spain - Puigcerda in Spain is just a walk away.,https://lh5.googleusercontent.com/6VCzzTAXO2NKQhPG-Ycu6vtQU3IcZXUBepu3TafjcEu2ENvzxACagf2ldbqGRa2zDlzlsOlpC0BMnYltrFj8B9A=w16383,walking,https://www.low-carb-travel.info/scribblings/station-strolls/spain/puigcerd%C3%A0-to-latour-carol-enveitg
46,Porté-Puymorens,StopPoint:OCEINTERCITES de nuit-87611509,Porté-Puymorens,42.5389780,1.82479100,Porté-Puymorens,,,,
47,Andorre l'Hospitalet,StopPoint:OCEINTERCITES de nuit-87611517,Andorre l'Hospitalet,42.5894530,1.80026400,Andorre l'Hospitalet,,,,
48,Mérens-les-Vals,StopPoint:OCEINTERCITES de nuit-87611525,Mérens-les-Vals,42.6593280,1.83699800,Mérens-les-Vals,,,,
49,Ax-les-Thermes,StopPoint:OCEINTERCITES de nuit-87611533,Ax-les-Thermes,42.7250320,1.83366300,Ax-les-Thermes,,,,
50,Luzenac - Garanou,StopPoint:OCEINTERCITES de nuit-87611558,Luzenac - Garanou,42.7644520,1.75316500,Luzenac - Garanou,,,,
51,Les Cabannes,StopPoint:OCEINTERCITES de nuit-87611574,Les Cabannes,42.7865110,1.68634200,Les Cabannes,,,,
52,Tarascon-sur-Ariège,StopPoint:OCEINTERCITES de nuit-87611590,Tarascon-sur-Ariège,42.8493680,1.60007100,Tarascon-sur-Ariège,,,,
53,Foix,StopPoint:OCEINTERCITES de nuit-87611616,Foix,42.9696560,1.60698500,Foix,,,,
54,Cahors,StopPoint:OCEINTERCITES de nuit-87613000,Cahors,44.4491570,1.43324900,Cahors,,,,
55,Rocamadour - Padirac,StopPoint:OCEINTERCITES de nuit-87613042,Rocamadour - Padirac,44.8179160,1.65745000,Rocamadour - Padirac,,,,
56,Gramat,StopPoint:OCEINTERCITES de nuit-87613059,Gramat,44.7731160,1.72304700,Gramat,,,,
57,Assier,StopPoint:OCEINTERCITES de nuit-87613075,Assier,44.6745470,1.86962800,Assier,,,,
58,Figeac,StopPoint:OCEINTERCITES de nuit-87613091,Figeac,44.6032850,2.03713600,Figeac,,,,
59,Capdenac,StopPoint:OCEINTERCITES de nuit-87613109,Capdenac,44.5789620,2.07708700,Capdenac,,,,
60,Gourdon,StopPoint:OCEINTERCITES de nuit-87613141,Gourdon,44.7418110,1.38955300,Gourdon,,,,
61,Aubin,StopPoint:OCEINTERCITES de nuit-87613224,Aubin,44.5272900,2.23902100,Aubin,,,,
62,Cransac,StopPoint:OCEINTERCITES de nuit-87613232,Cransac,44.5229660,2.27116700,Cransac,,,,
63,Saint-Christophe,StopPoint:OCEINTERCITES de nuit-87613257,Saint-Christophe,44.4649130,2.40727800,Saint-Christophe,,,,
64,Caussade,StopPoint:OCEINTERCITES-87613356,Caussade,44.1623120,1.53345800,Caussade,,,,
65,Caussade,StopPoint:OCEINTERCITES de nuit-87613356,Caussade,44.1623120,1.53345800,Caussade,,,,
66,Rodez,StopPoint:OCEINTERCITES de nuit-87613422,Rodez,44.3627700,2.58038800,Rodez,,,,
67,Viviez - Decazeville,StopPoint:OCEINTERCITES de nuit-87613661,Viviez - Decazeville,44.5555580,2.21842600,Viviez - Decazeville,,,,
68,Albi Ville,StopPoint:OCEINTERCITES de nuit-87615005,Albi Ville,43.9222100,2.13725300,Albi Ville,,,,
69,Castelnaudary,StopPoint:OCEINTERCITES de nuit-87615039,Castelnaudary,43.3120630,1.95009600,Castelnaudary,,,,
70,Lézignan-Corbières,StopPoint:OCEINTERCITES de nuit-87615112,Lézignan-Corbières,43.1998680,2.76959000,Lézignan-Corbières,,,,
71,Albi Madeleine,StopPoint:OCEINTERCITES de nuit-87615195,Albi Madeleine,43.9381910,2.14079900,Albi Madeleine,,,,
72,Carcassonne,StopPoint:OCEINTERCITES de nuit-87615286,Carcassonne,43.2181650,2.35243000,Carcassonne,"Carcassonne, one of the best preserved medieval cities in the world, has something of a fairytale feel thanks to the restoration work of Eugène Viollet-le-Duc.",https://lh5.googleusercontent.com/5AOhP9NiDLmv6cwkFFj5x4bgLiUTYB0BUqLIhBCJibqvhNcPM4DJHOl3ciVYQdM98UpxD1IF7c7VwYws2Xz6gew=w16383,history|kids,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/carcassonne
73,Carmaux,StopPoint:OCEINTERCITES de nuit-87615625,Carmaux,44.0486060,2.15198800,Carmaux,,,,
74,Naucelle,StopPoint:OCEINTERCITES de nuit-87615732,Naucelle,44.1855130,2.36337300,Naucelle,,,,
75,Aurillac,StopPoint:OCEINTERCITES de nuit-87645002,Aurillac,44.9212860,2.43627200,Aurillac,,,,
76,Laroquebrou,StopPoint:OCEINTERCITES de nuit-87645135,Laroquebrou,44.9642040,2.19284800,Laroquebrou,,,,
77,Neussargues,StopPoint:OCEINTERCITES-87645507,Neussargues,45.1252010,2.97919200,Neussargues,,,,
78,Tarbes,StopPoint:OCEINTERCITES de nuit-87671008,Tarbes,43.2398630,0.06944200,Tarbes,,,,
79,Lannemezan,StopPoint:OCEINTERCITES-87671123,Lannemezan,43.1142400,0.38758200,Lannemezan,,,,
80,Lourdes,StopPoint:OCEINTERCITES de nuit-87671339,Lourdes,43.1006000,-0.0418120,Lourdes,"As a small town in the foothills of the Pyrenees, Lourdes used to be a bit of a backwater. But all of that changed in 1858 when 14-year-old Bernadette Soubirous visited a cave and met the Lady of the Immaculate Conception who told her about the healing properties of the water.",https://lh3.googleusercontent.com/SwPPkE3oYc2JXdMGKsZutdudwiJaPfuDX_fYad7uPr6iAp0poSOzkoK47TcuMo72NnTFkeAwjl9twKiHvq8xzMQ=w16383,history|walking,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/lourdes
81,Pau,StopPoint:OCEINTERCITES-87672006,Pau,43.2914670,-0.3694580,Pau,,,,
82,Orthez,StopPoint:OCEINTERCITES-87672253,Orthez,43.4840850,-0.7676430,Orthez,,,,
83,Bayonne,StopPoint:OCEINTERCITES-87673004,Bayonne,43.4970180,-1.4701940,Bayonne,"If you've spent a few days getting body-beautiful down in San Sebastian or nearby Biarritz, why not go and undo all that good work with a trip to Bayonne!",https://lh4.googleusercontent.com/E5EErJJwTYFUZ4XMDiVQh0hcTdF-IzexLTUsCM1nxHfHrFaVmDcKwhl5-o6gCMOz3kzWsXpDu-KgEnBLddw1Z3Q=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/bayonne
84,Biarritz,StopPoint:OCEINTERCITES-87673400,Biarritz,43.4593120,-1.5459380,Biarritz,,,,
85,Hendaye,StopPoint:OCEINTERCITES-87677005,Hendaye,43.3531650,-1.7820950,Hendaye,,,,
86,Saint-Jean-de-Luz,StopPoint:OCEINTERCITES-87677120,Saint-Jean-de-Luz - Ciboure,43.3857610,-1.6608880,Saint-Jean-de-Luz,,,,
87,Villeneuve-Saint-Georges,StopPoint:OCEOUIGO-87681825,Villeneuve-Saint-Georges,48.7311810,2.44643400,Villeneuve-Saint-Georges,,,,
88,Melun,StopPoint:OCEOUIGO-87682005,Melun,48.5275740,2.65551300,Melun,,,,
89,Nevers,StopPoint:OCEINTERCITES-87696005,Nevers,46.9874690,3.15044800,Nevers,,,,
90,Saincaize,StopPoint:OCEINTERCITES-87696260,Saincaize,46.9312590,3.07162400,Saincaize,,,,
91,Moulins sur Allier,StopPoint:OCEINTERCITES-87696328,Moulins sur Allier,46.5606430,3.33897400,Moulins sur Allier,,,,
92,Dijon,StopPoint:OCEOUIGO-87713040,Dijon,47.3228800,5.02611100,Dijon,,,,
93,Lyon,StopPoint:OCEOUIGO-87723197,Lyon Part Dieu,45.7605960,4.85940900,Lyon,"Lyon, France’s third largest city and reputed gastronomic capital of the world, sits at the junction of the Rhône and Saône rivers. Founded by the Romans, Lyon flourished in the late Middle Ages and has been a major centre for industry, commerce and banking for the last 500 years. The legacy of this wealth is on show through the fine set of buildings.",https://lh4.googleusercontent.com/YMqeimDKPaxCNsNJj8xKHdjSKg8veb4QP9a7jomleb61q25O_stRgNk1jrqbx03OTQbQKfdwYtI_qvAluYuCPrk=w16383,history|food|city break,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/lyon
94,Chalon-sur-Saône,StopPoint:OCEOUIGO-87725002,Chalon-sur-Saône,46.7810300,4.84316400,Chalon-sur-Saône,,,,
95,Mâcon,StopPoint:OCEOUIGO-87725689,Mâcon,46.3029010,4.82448200,Mâcon,,,,
96,Roanne,StopPoint:OCEINTERCITES-87726802,Roanne,46.0394740,4.06285900,Roanne,,,,
97,Vichy,StopPoint:OCEINTERCITES-87732008,Vichy,46.1268820,3.43070700,Vichy,"Vichy is a town in Auvergne. It's known for two things: its spas (Vichy is one of eleven world heritage-listed European spa towns), and as the headquarters of the pro-Nazi Vichy regime during the Second World War.",https://upload.wikimedia.org/wikipedia/commons/5/5d/Vichy_banner.jpg,history|spa,https://en.wikivoyage.org/wiki/Vichy
98,Saint-Germain-des-Fossés,StopPoint:OCEINTERCITES-87732206,Saint-Germain-des-Fossés,46.2088400,3.43076300,Saint-Germain-des-Fossés,,,,
99,Clermont-Ferrand,StopPoint:OCEINTERCITES-87734004,Clermont-Ferrand,45.7785750,3.10052100,Clermont-Ferrand,,,,
100,Riom - Châtel-Guyon,StopPoint:OCEINTERCITES-87734053,Riom - Châtel-Guyon,45.8899650,3.12049800,Riom - Châtel-Guyon,,,,
101,Issoire,StopPoint:OCEINTERCITES-87734202,Issoire,45.5441100,3.25410400,Issoire,,,,
102,Brassac-les-Mines - Sainte-Florine,StopPoint:OCEINTERCITES-87734244,Brassac-les-Mines - Sainte-Florine,45.4141630,3.33035400,Brassac-les-Mines - Sainte-Florine,,,,
103,Arvant,StopPoint:OCEINTERCITES-87734251,Arvant,45.3653890,3.31067700,Arvant,,,,
104,Massiac - Blesle,StopPoint:OCEINTERCITES-87734871,Massiac - Blesle,45.2531510,3.19643000,Massiac - Blesle,,,,
105,Marseille,StopPoint:OCEINTERCITES-87751008,Marseille Saint-Charles,43.3030300,5.38055500,Marseille,"Marseille (Provençal: Marselha) is the second most populated city of France (and third urban area) the biggest Mediterranean port and the economic center of the Provence-Alpes-Côte d'Azur region. In 2013 the city (with its region) was the European Capital of Culture, a large series of cultural events took place, and several new infrastructures were inaugurated.",https://upload.wikimedia.org/wikipedia/commons/5/58/Marseille_banner.jpg,history|sea|city break,https://en.wikivoyage.org/wiki/Marseille
106,Arles,StopPoint:OCEINTERCITES-87753657,Arles,43.6853590,4.63210900,Arles,"Arles, spiritual capital of Provence, is located where the mighty Rhône meets the Camargue and was founded by the veterans of Julius Caesar's crack Sixth legion. And while it has world class Roman buildings (that are still in active use today), it's probably more famous for being the place where Vincent Van Gogh came in search of light - the art world hasn't been the same since.",https://lh6.googleusercontent.com/jbU3Kd8kDZZIz5VdCbCfDU9zd3wQPwM_781VUwMuHB3LqmLFWtbSx3umcnksHmd7E1IHfI2TAlxCb3WFrgl7xc8_aF5WpVEyS0apmJLEiQ23ItAo39tIiBn9xzI1w-kzSg=w1280,history|art,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/arles
107,Toulon,StopPoint:OCEINTERCITES de nuit-87755009,Toulon,43.1283600,5.92972000,Toulon,,,,
108,Les Arcs - Draguignan,StopPoint:OCEINTERCITES de nuit-87755447,Les Arcs - Draguignan,43.4555920,6.48246900,Les Arcs - Draguignan,,,,
109,Nice-Ville,StopPoint:OCEINTERCITES de nuit-87756056,Nice-Ville,43.7048320,7.26199000,Nice-Ville,,,,
110,Saint-Raphaël Valescure,StopPoint:OCEINTERCITES de nuit-87757526,Saint-Raphaël Valescure,43.4243860,6.76846700,Saint-Raphaël Valescure,,,,
111,Cannes,StopPoint:OCEINTERCITES de nuit-87757625,Cannes,43.5539910,7.01957700,Cannes,,,,
112,Antibes,StopPoint:OCEINTERCITES de nuit-87757674,Antibes,43.5858790,7.11941700,Antibes,,,,
113,Crest,StopPoint:OCEINTERCITES de nuit-87761783,Crest,44.7301250,5.01585700,Crest,,,,
114,Die,StopPoint:OCEINTERCITES de nuit-87761841,Die,44.7581890,5.36302900,Die,,,,
115,Luc-en-Diois,StopPoint:OCEINTERCITES de nuit-87761874,Luc-en-Diois,44.6137420,5.45481100,Luc-en-Diois,,,,
116,Gap,StopPoint:OCEINTERCITES de nuit-87763003,Gap,44.5636260,6.08539200,Gap,,,,
117,Veynes Dévoluy,StopPoint:OCEINTERCITES de nuit-87763300,Veynes Dévoluy,44.5318280,5.81579300,Veynes Dévoluy,,,,
118,Chorges,StopPoint:OCEINTERCITES de nuit-87763425,Chorges,44.5457090,6.27193000,Chorges,,,,
119,Embrun,StopPoint:OCEINTERCITES de nuit-87763466,Embrun,44.5670480,6.49664800,Embrun,,,,
120,Mont-Dauphin - Guillestre,StopPoint:OCEINTERCITES de nuit-87763508,Mont-Dauphin - Guillestre,44.6740560,6.61558600,Mont-Dauphin - Guillestre,,,,
121,L'Argentière les Écrins,StopPoint:OCEINTERCITES de nuit-87763557,L'Argentière les Écrins,44.7909250,6.55618800,L'Argentière les Écrins,,,,
122,Briançon,StopPoint:OCEINTERCITES de nuit-87763607,Briançon,44.8896140,6.63262700,Briançon,,,,
123,Montpellier,StopPoint:OCEINTERCITES de nuit-87773002,Montpellier Saint-Roch,43.6047800,3.88116800,Montpellier,"Montpellier is the principal city in the Languedoc-Roussillon region in southwest France. It's been the one of the fastest growing cities in France since the 1990s. As a result, it has very modern districts on the outskirts that are in stark contrast to the old winding roads of the city centre. The town is home to a lot of students due to the presence of the University of Montpellier which has the oldest medical school in Europe, and, as such, Montpellier has a very young feel to it.",https://upload.wikimedia.org/wikipedia/commons/c/c8/Montpellier_banner.jpg,history,https://en.wikivoyage.org/wiki/Montpellier
124,Sète,StopPoint:OCEINTERCITES de nuit-87773200,Sète,43.4128080,3.69641000,Sète,"Located between a lagoon and the Med and connecting the Canal du Midi to the sea, this southern French working port is a great place to get seafood and sea views. Throughout the summer you can also catch some water-jousting where old-style lifeboats (barque de sauvetage) with multiple oarsmen and one jouster charge at each other and try to unseat their opponent.",https://lh4.googleusercontent.com/AMYnxeEqeX3CUTjYFCeD4AOL14wj9Mgb0Y3oCkLjtHwihrtA0rVhw-sPYCOOrF0tr-aU20of4eUIh0qvXTsxNIE=w16383,history|art|sea,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/s%C3%A8te
125,Nîmes,StopPoint:OCEINTERCITES de nuit-87775007,Nîmes Centre,43.8323870,4.36608100,Nîmes,"Known as the most Roman city outside of Italy, Nîmes has one of the best preserved arenas and Roman temples in the world. It's also the birthplace of denim ('de Nîmes'), so you could think of coming to Nîmes as a pilgrimage for your jeans! The city is full of activity and has events and festivals throughout the year, including an annual international music festival held in the Roman arena and local craft and produce markets.",https://lh3.googleusercontent.com/TyPwFxxNRBndzLZmKBMoP6nyMmqlFuUfUHPOFwjWB20imaw5Y2jqEm2gY6gEgY_PePiljJhDIO4Q01L_z0FDD0o=w16383,history|food,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/n%C3%AEmes
126,Béziers,StopPoint:OCEINTERCITES de nuit-87781005,Béziers,43.3362690,3.21899300,Béziers,,,,
127,Narbonne,StopPoint:OCEINTERCITES de nuit-87781104,Narbonne,43.1906640,3.00556200,Narbonne,Narbonne has been an ideal place to stop off when going places since Roman times as it was where the via Aquitania from the Atlantic via Bordeaux and Toulouse met the via Domitia reaching into Spain. It’s still a great place to change trains when doing the same thing.,https://lh5.googleusercontent.com/kPBjmv2-geIgP413qK2L3JGokOpL9KHgrfocq-eQrH1plkChP2t9T2-J3T27UQLEw2K-PHG-IaOYJTSxCYhxXac=w16383,history,https://www.low-carb-travel.info/deeper-dives/train-to-spain/hop-offs/france/narbonne
128,Agde,StopPoint:OCEINTERCITES de nuit-87781278,Agde,43.3175390,3.46574800,Agde,,,,
129,Ceilhes - Roqueredonde,StopPoint:OCEINTERCITES-87781542,Ceilhes - Roqueredonde,43.8123890,3.15519000,Ceilhes - Roqueredonde,,,,
130,Le Bousquet-d'Orb,StopPoint:OCEINTERCITES-87781583,Le Bousquet-d'Orb,43.6910640,3.16907800,Le Bousquet-d'Orb,,,,
131,Bédarieux,StopPoint:OCEINTERCITES-87781609,Bédarieux,43.6085890,3.14974600,Bédarieux,,,,
132,Magalas,StopPoint:OCEINTERCITES-87781666,Magalas,43.4678380,3.22943900,Magalas,,,,
133,Millau,StopPoint:OCEINTERCITES-87783001,Millau,44.1017230,3.07378300,Millau,,,,
134,Saint-Flour - Chaudes-Aigues,StopPoint:OCEINTERCITES-87783175,Saint-Flour - Chaudes-Aigues,45.0350350,3.10600800,Saint-Flour - Chaudes-Aigues,,,,
135,Saint-Chély-d'Apcher,StopPoint:OCEINTERCITES-87783241,Saint-Chély-d'Apcher,44.8017060,3.27076100,Saint-Chély-d'Apcher,,,,
136,Aumont-Aubrac,StopPoint:OCEINTERCITES-87783266,Aumont-Aubrac,44.7181070,3.28337700,Aumont-Aubrac,,,,
137,Marvejols,StopPoint:OCEINTERCITES-87783282,Marvejols,44.5448290,3.28127200,Marvejols,,,,
138,Le Monastier,StopPoint:OCEINTERCITES-87783308,Le Monastier,44.5081600,3.25187700,Le Monastier,,,,
139,Banassac - La Canourgue,StopPoint:OCEINTERCITES-87783324,Banassac - La Canourgue,44.4475990,3.19610600,Banassac - La Canourgue,,,,
140,Campagnac - Saint-Geniez,StopPoint:OCEINTERCITES-87783340,Campagnac - Saint-Geniez,44.4219560,3.06636600,Campagnac - Saint-Geniez,,,,
141,Sévérac-le-Château,StopPoint:OCEINTERCITES-87783365,Sévérac-le-Château,44.3245250,3.05693000,Sévérac-le-Château,,,,
142,Saint-Georges-de-Luzençon,StopPoint:OCEINTERCITES-87783423,Saint-Georges-de-Luzençon,44.0666180,2.98358000,Saint-Georges-de-Luzençon,,,,
